title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,282,Anger,5,5,5,1,5,5,3,5,4,0
That's What I Like,Bruno Mars,2017,206,Joy,54,8,4,13,0,3,39,1,22,19
Humble.,Kendrick Lamar,2017,178,Sadness,29,67,37,4,51,39,3,60,5,9
Something Just Like This,The Chainsmokers & Coldplay,2017,247,Joy,14,3,0,10,0,3,11,0,6,3
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017,343,Fear,28,55,42,17,25,44,13,27,9,16
Closer,The Chainsmokers Featuring Halsey,2017,244,Sadness,20,10,5,5,1,5,8,22,8,8
Body Like A Back Road,Sam Hunt,2017,163,Anticipation,3,3,2,5,0,1,2,2,2,2
Believer,Imagine Dragons,2017,205,Sadness,21,21,4,3,3,17,6,21,7,21
Congratulations,Post Malone Featuring Quavo,2017,221,Anticipation,32,12,8,15,6,11,15,3,8,6
Say You Won't Let Go,James Arthur,2017,212,Joy,26,5,3,6,2,3,16,4,5,14
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017,289,Trust,30,24,20,17,12,15,15,14,10,21
XO TOUR Llif3,Lil Uzi Vert,2017,183,Trust,26,24,8,9,5,14,17,18,6,23
Mask Off,Future,2017,205,Anger,19,64,34,9,18,32,10,18,6,16
Unforgettable,French Montana Featuring Swae Lee,2017,233,Anticipation,27,13,8,19,3,6,17,7,10,16
24K Magic,Bruno Mars,2017,225,Anger,10,29,15,14,8,9,9,8,9,15
Stay,Zedd & Alessia Cara,2017,214,Anticipation,10,4,0,21,0,2,7,0,6,5
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2017,205,Surprise,21,62,5,7,4,5,19,9,57,6
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017,291,Trust,47,36,21,22,12,23,25,26,21,28
Starboy,The Weeknd Featuring Daft Punk,2017,231,Joy,36,22,11,13,2,13,21,17,5,15
Location,Khalid,2017,217,Anticipation,10,6,1,5,2,0,1,4,1,4
Attention,Charlie Puth,2017,211,Anticipation,19,12,7,10,5,3,9,6,3,3
There's Nothing Holdin' Me Back,Shawn Mendes,2017,200,Joy,13,13,5,3,2,7,11,7,2,0
Bodak Yellow (Money Moves),Cardi B,2017,224,Anger,29,38,34,18,21,20,23,21,10,28
Redbone,Childish Gambino,2017,327,Anger,5,11,5,5,3,0,4,2,3,1
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,246,Joy,10,5,5,3,2,5,8,5,1,0
iSpy,KYLE Featuring Lil Yachty,2017,253,Anticipation,25,29,16,19,16,8,17,9,9,13
Issues,Julia Michaels,2017,177,Joy,17,16,11,4,11,11,15,12,2,8
Scars To Your Beautiful,Alessia Cara,2017,230,Joy,41,18,7,19,7,23,35,14,4,15
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017,251,Anticipation,29,22,4,33,8,19,28,19,10,28
Slow Hands,Niall Horan,2017,188,Surprise,5,11,3,5,7,7,5,7,9,3
Love On The Brain,Rihanna,2017,220,Joy,32,12,6,7,4,8,32,10,4,5
I Feel It Coming,The Weeknd Featuring Daft Punk,2017,270,Joy,7,6,5,3,5,4,7,5,0,1
Bounce Back,Big Sean,2017,222,Trust,45,34,23,24,14,25,17,21,9,38
Strip That Down,Liam Payne Featuring Quavo,2017,203,Joy,46,34,13,7,2,8,40,27,2,8
Fake Love,Drake,2017,211,Anticipation,15,19,1,12,1,2,12,3,3,9
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017,215,Joy,30,4,1,7,3,0,29,0,2,7
Look What You Made Me Do,Taylor Swift,2017,256,Trust,11,7,7,11,5,5,6,5,1,13
Castle On The Hill,Ed Sheeran,2017,262,Anticipation,26,8,1,19,1,4,12,4,6,17
Bad Things,Machine Gun Kelly x Camila Cabello,2017,240,Anger,21,33,27,9,17,20,11,19,10,16
Paris,The Chainsmokers,2017,222,Trust,6,6,1,2,1,2,2,2,1,24
Side To Side,Ariana Grande Featuring Nicki Minaj,2017,227,Joy,19,22,10,7,11,8,15,5,7,5
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2017,251,Joy,54,41,15,22,6,14,40,24,12,15
Feel It Still,Portugal. The Man,2017,164,Anger,5,35,24,5,1,14,5,7,5,4
Let Me Love You,DJ Snake Featuring Justin Bieber,2017,203,Joy,23,4,2,5,2,2,21,3,4,4
Sorry Not Sorry,Demi Lovato,2017,204,Joy,43,35,25,12,14,28,32,23,5,11
Bank Account,21 Savage,2017,220,Fear,53,63,50,57,23,87,37,25,4,80
Can't Stop The Feeling!,Justin Timberlake,2017,286,Joy,62,6,2,10,0,2,59,4,14,55
Mi Gente,J Balvin & Willy William Featuring Beyonce,2017,186,Anticipation,12,3,2,6,1,2,6,0,4,6
Thunder,Imagine Dragons,2017,188,Surprise,7,4,12,3,1,11,5,1,14,6
T-Shirt,Migos,2017,242,Trust,37,22,18,17,10,18,14,9,7,22
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017,276,Fear,28,36,24,19,20,25,16,21,15,19
Mercy,Shawn Mendes,2017,209,Sadness,27,12,6,4,1,6,8,12,3,4
Tunnel Vision,Kodak Black,2017,269,Joy,24,25,13,9,15,9,16,3,2,6
Rockstar,Post Malone Featuring 21 Savage,2017,219,Anger,21,19,19,8,7,10,12,10,4,19
In Case You Didn't Know,Brett Young,2017,227,Anticipation,5,14,7,18,0,10,4,10,1,1
Heathens,twenty one pilots,2017,218,Fear,8,25,8,14,8,22,8,5,7,10
Now Or Never,Halsey,2017,214,Joy,24,1,1,4,1,1,15,0,0,0
Caroline,Amine,2017,210,Disgust,32,38,35,13,37,36,22,26,7,12
Rolex,Ayo & Teo,2017,238,Joy,22,12,3,2,2,4,13,5,0,6
DNA.,Kendrick Lamar,2017,186,Anger,47,45,33,18,21,26,21,22,9,28
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,2017,144,Joy,39,8,4,5,3,4,16,2,1,14
