title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Natural,Imagine Dragons,2018,190,Trust,11,24,9,9,2,9,7,7,5,10
You Make It Easy,Jason Aldean,2018,193,Joy,18,2,0,7,0,3,12,2,3,11
Shape Of You,Ed Sheeran,2018,264,Joy,70,14,7,7,6,2,46,8,4,12
I Get The Bag,Gucci Mane Featuring Migos,2018,233,Trust,58,30,20,23,8,19,28,15,7,32
Sky Walker,Miguel Featuring Travis Scott,2018,260,Joy,38,26,13,28,7,12,29,4,18,17
Marry Me,Thomas Rhett,2018,206,Trust,15,13,4,14,1,14,15,7,12,16
Call Out My Name,The Weeknd,2018,228,Anticipation,14,12,1,19,2,0,10,5,4,6
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018,229,Trust,47,25,20,22,10,21,22,12,10,35
Happier,Marshmello & Bastille,2018,215,Surprise,11,12,2,2,1,6,5,9,11,4
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018,418,Fear,4,10,9,1,5,10,4,6,0,0
Simple,Florida Georgia Line,2018,185,Joy,12,8,8,3,1,1,9,1,3,7
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018,251,Anticipation,29,22,4,33,8,19,28,19,10,28
Say Something,Justin Timberlake Featuring Chris Stapleton,2018,278,Surprise,6,1,0,0,0,0,1,0,8,1
I'm Upset,Drake,2018,215,Anger,18,20,15,10,9,3,14,6,5,10
Get Along,Kenny Chesney,2018,199,Joy,26,14,8,15,8,12,21,17,3,13
Moonlight,XXXTENTACION,2018,135,Trust,10,11,10,10,10,9,8,9,8,11
What Lovers Do,Maroon 5 Featuring SZA,2018,200,Joy,51,4,1,19,1,0,51,0,13,18
X,Nicky Jam x J Balvin,2018,173,Anger,2,4,4,0,4,4,1,4,0,0
Outside Today,YoungBoy Never Broke Again,2018,129,Fear,14,14,12,8,5,15,7,4,6,11
Trip,Ella Mai,2018,213,Disgust,27,32,19,4,26,23,26,24,21,8
Dura,Daddy Yankee,2018,218,Anticipation,3,3,4,16,1,0,2,0,0,1
Changes,XXXTENTACION,2018,122,Joy,7,4,4,0,4,5,7,4,0,0
Mercy,Brett Young,2018,218,Surprise,14,7,7,1,2,6,5,2,9,2
One Number Away,Luke Combs,2018,221,Sadness,10,23,6,4,7,7,5,13,5,6
IDGAF,Dua Lipa,2018,231,Joy,13,18,4,5,10,2,11,7,3,6
Mi Gente,J Balvin & Willy William Featuring Beyonce,2018,186,Anticipation,12,3,2,6,1,2,6,0,4,6
Believer,Imagine Dragons,2018,205,Sadness,21,21,4,3,3,17,6,21,7,21
