title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Whatever It Takes,Imagine Dragons,2018,202,Surprise,25,24,12,14,6,13,13,10,16,10,0
Ric Flair Drip,Offset & Metro Boomin,2018,172,Anger,9,27,14,8,9,11,8,7,1,12,0
I Fall Apart,Post Malone,2018,224,Sadness,12,25,10,2,11,12,4,16,10,4,0
Pray For Me,The Weeknd & Kendrick Lamar,2018,212,Fear,24,30,10,18,3,30,18,17,12,22,0
Back To You,Selena Gomez,2018,211,Anger,11,11,7,2,5,4,3,6,3,6,0
Sicko Mode,Travis Scott,2018,313,Anger,29,38,22,11,16,12,18,7,9,19,2
Walk It Talk It,Migos Featuring Drake,2018,277,Anger,101,25,22,5,6,14,3,5,5,6,0
Gucci Gang,Lil Pump,2018,124,Anger,5,86,71,0,18,68,4,24,1,1,0
Him & I,G-Eazy & Halsey,2018,198,Sadness,45,47,34,14,16,34,25,40,11,27,1
In My Blood,Shawn Mendes,2018,211,Fear,1,8,2,1,3,4,0,2,0,0,0
All The Stars,Kendrick Lamar & SZA,2018,235,Love,40,16,5,24,4,12,30,5,4,28,28
Stir Fry,Migos,2018,191,Anger,27,38,31,14,4,10,9,10,3,12,0
Too Good At Goodbyes,Sam Smith,2018,265,Anticipation,21,24,5,25,3,7,20,19,22,14,3
Love.,Kendrick Lamar Featuring Zacari,2018,214,Love,44,11,12,18,4,2,37,9,14,19,20
This Is America,Childish Gambino,2018,245,Sadness,23,37,22,19,5,8,20,31,27,22,0
Nonstop,Drake,2018,239,Anger,24,31,28,12,19,22,11,7,10,16,0
Heaven,Kane Brown,2018,180,Anticipation,17,4,1,17,0,0,11,1,7,12,6
Bodak Yellow (Money Moves),Cardi B,2018,224,Anger,30,38,34,19,21,20,24,21,10,28,2
Freaky Friday,Lil Dicky Featuring Chris Brown,2018,216,Anger,25,29,18,17,13,11,10,12,6,14,1
Gummo,6ix9ine,2018,161,Anger,18,41,43,6,21,20,9,11,5,10,0
Plug Walk,Rich The Kid,2018,175,Sadness,11,8,1,0,2,1,2,5,0,2,0
Wait,Maroon 5,2018,191,Anticipation,9,28,3,26,5,3,6,8,3,4,0
Be Careful,Cardi B,2018,211,Anger,36,30,17,14,15,15,14,14,11,12,4
Bartier Cardi,Cardi B Featuring 21 Savage,2018,225,Anger,41,46,44,24,8,28,16,26,4,14,0
God Is A Woman,Ariana Grande,2018,197,Love,27,8,4,22,3,18,24,0,1,18,20
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018,237,Trust,49,39,44,33,24,28,38,18,27,90,1
Sorry Not Sorry,Demi Lovato,2018,204,Joy,43,35,25,12,14,28,32,23,5,11,25
How Long,Charlie Puth,2018,198,Love,26,14,1,11,4,7,16,2,0,10,21
Lights Down Low,MAX Featuring gnash,2018,223,Joy,17,6,5,6,2,9,14,3,5,5,9
Young Dumb & Broke,Khalid,2018,248,Surprise,47,32,2,42,1,1,47,2,59,8,0
One Kiss,Calvin Harris & Dua Lipa,2018,214,Joy,21,3,3,16,3,3,19,4,11,4,8
Natural,Imagine Dragons,2018,190,Trust,11,24,9,9,2,9,7,7,5,10,0
You Make It Easy,Jason Aldean,2018,193,Love,20,2,0,9,0,3,14,2,3,11,16
Shape Of You,Ed Sheeran,2018,264,Joy,70,14,7,7,6,2,46,8,4,12,16
I Get The Bag,Gucci Mane Featuring Migos,2018,233,Trust,58,30,20,23,8,19,28,15,7,32,12
Sky Walker,Miguel Featuring Travis Scott,2018,260,Love,38,26,13,28,7,12,29,4,18,17,18
Marry Me,Thomas Rhett,2018,206,Love,15,13,4,14,1,14,15,7,12,16,16
Call Out My Name,The Weeknd,2018,228,Anticipation,16,12,1,21,2,0,12,5,4,6,8
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018,229,Trust,47,25,20,22,10,21,22,12,10,35,3
Happier,Marshmello & Bastille,2018,215,Surprise,11,12,2,2,1,6,5,9,11,4,0
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018,418,Fear,4,10,9,1,5,10,4,6,0,0,4
Simple,Florida Georgia Line,2018,185,Love,12,8,8,3,1,1,9,1,3,7,7
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018,251,Anticipation,29,22,4,33,8,19,28,19,10,28,0
Say Something,Justin Timberlake Featuring Chris Stapleton,2018,278,Surprise,6,1,0,0,0,0,1,0,8,1,0
I'm Upset,Drake,2018,215,Anger,18,20,15,10,9,3,14,6,5,10,1
Get Along,Kenny Chesney,2018,199,Love,26,14,8,15,8,12,21,17,3,13,13
Moonlight,XXXTENTACION,2018,135,Trust,10,11,10,10,10,9,8,9,8,11,0
What Lovers Do,Maroon 5 Featuring SZA,2018,200,Joy,51,4,1,19,1,0,51,0,13,18,8
X,Nicky Jam x J Balvin,2018,173,Anger,2,4,4,0,4,4,1,4,0,0,1
Outside Today,YoungBoy Never Broke Again,2018,129,Fear,14,14,12,8,5,15,7,4,6,11,0
Trip,Ella Mai,2018,213,Disgust,27,32,19,4,26,23,26,24,21,8,5
Dura,Daddy Yankee,2018,218,Anticipation,3,3,4,16,1,0,2,0,0,1,2
Changes,XXXTENTACION,2018,122,Joy,7,4,4,0,4,5,7,4,0,0,7
Mercy,Brett Young,2018,218,Surprise,14,7,7,1,2,6,5,2,9,2,0
One Number Away,Luke Combs,2018,221,Sadness,10,23,6,4,7,7,5,13,5,6,1
IDGAF,Dua Lipa,2018,231,Love,13,18,4,5,10,2,11,7,3,6,7
Mi Gente,J Balvin & Willy William Featuring Beyonce,2018,186,Anticipation,12,3,2,6,1,2,6,0,4,6,0
Believer,Imagine Dragons,2018,205,Sadness,21,21,4,3,3,17,6,21,7,21,1
